DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy
2016-08-01,181.852,2016,8,59154.666666666664,205719975.952004,5.0,240.545,4.9,216.0,0.4,125819.0,70840.0,37.55
2016-09-01,182.824,2016,9,59225.333333333336,205746285.757389,5.2,241.176,5.0,215.3,0.4,125819.0,70840.0,37.55
2016-10-01,183.751,2016,10,59296.0,205823439.447656,5.2,241.741,4.9,214.8,0.4,125819.0,70840.0,37.55
2016-11-01,184.759,2016,11,59362.0,205811828.227144,5.2,242.026,4.7,214.5,0.41,125819.0,70840.0,37.55
2016-12-01,185.722,2016,12,59428.0,205949625.567472,5.4,242.637,4.7,215.5,0.54,125819.0,70840.0,37.55
2017-01-01,186.805,2017,1,59494.0,205344403.837718,5.4,243.618,4.7,217.3,0.65,126224.0,72090.0,35.771
2017-02-01,187.315,2017,2,59574.666666666664,205351513.930728,5.3,244.006,4.6,218.8,0.66,126224.0,72090.0,35.771
2017-03-01,187.993,2017,3,59655.333333333336,205267918.37708,5.0,243.892,4.4,219.7,0.79,126224.0,72090.0,35.771
2017-04-01,188.725,2017,4,59736.0,205393193.929005,5.4,244.193,4.4,221.0,0.9,126224.0,72090.0,35.771
2017-05-01,189.617,2017,5,59857.0,205502426.80103895,5.1,244.004,4.4,221.7,0.91,126224.0,72090.0,35.771
2017-06-01,190.51,2017,6,59978.0,205687226.297763,5.3,244.163,4.3,221.9,1.04,126224.0,72090.0,35.771
2017-07-01,191.452,2017,7,60099.0,205738306.568501,5.8,244.243,4.3,221.9,1.15,126224.0,72090.0,35.771
2017-08-01,192.665,2017,8,60290.666666666664,205719781.084534,6.1,245.183,4.4,222.4,1.16,126224.0,72090.0,35.771
2017-09-01,193.759,2017,9,60482.333333333336,205689659.650249,5.3,246.435,4.3,223.1,1.15,126224.0,72090.0,35.771
2017-10-01,194.804,2017,10,60674.0,205674728.188026,5.5,246.626,4.2,223.9,1.15,126224.0,72090.0,35.771
2017-11-01,195.955,2017,11,60813.666666666664,205660685.323879,4.8,247.284,4.2,223.9,1.16,126224.0,72090.0,35.771
2017-12-01,197.172,2017,12,60953.333333333336,205804333.906644,5.6,247.805,4.1,224.1,1.3,126224.0,72090.0,35.771
2018-01-01,198.315,2018,1,61093.0,206344543.075414,6.0,248.859,4.0,225.8,1.41,127586.0,73030.0,38.859
2018-02-01,199.232,2018,2,61174.0,206312186.569498,5.7,249.529,4.1,228.7,1.42,127586.0,73030.0,38.859
2018-03-01,199.966,2018,3,61255.0,206372831.658204,5.2,249.577,4.0,231.3,1.51,127586.0,73030.0,38.859
2018-04-01,200.658,2018,4,61336.0,206276661.888112,5.6,250.227,4.0,232.4,1.69,127586.0,73030.0,38.859
2018-05-01,201.425,2018,5,61431.333333333336,206525473.357245,5.5,250.792,3.8,236.8,1.7,127586.0,73030.0,38.859
2018-06-01,202.233,2018,6,61526.666666666664,206659173.823112,5.8,251.018,4.0,239.2,1.82,127586.0,73030.0,38.859
2018-07-01,202.913,2018,7,61622.0,206655624.781373,6.0,251.214,3.8,239.6,1.91,127586.0,73030.0,38.859
2018-08-01,203.689,2018,8,61621.0,206658042.804232,6.5,251.663,3.8,239.4,1.91,127586.0,73030.0,38.859
2018-09-01,204.349,2018,9,61620.0,206634780.35646105,6.6,252.182,3.7,240.0,1.95,127586.0,73030.0,38.859
2018-10-01,205.112,2018,10,61619.0,206625758.029937,7.2,252.772,3.8,238.7,2.19,127586.0,73030.0,38.859
2018-11-01,205.669,2018,11,61709.0,206649232.130241,6.4,252.594,3.8,238.8,2.2,127586.0,73030.0,38.859
2018-12-01,206.156,2018,12,61799.0,206768336.69479,7.6,252.767,3.9,238.3,2.27,127586.0,73030.0,38.859
2019-01-01,206.539,2019,1,61889.0,206195132.976976,7.0,252.718,4.0,238.5,2.4,128579.0,78250.0,40.185
2019-02-01,206.862,2019,2,62036.333333333336,206161240.463152,6.4,253.322,3.8,238.1,2.4,128579.0,78250.0,40.185
2019-03-01,207.066,2019,3,62183.666666666664,206102863.946716,5.7,254.202,3.8,238.1,2.41,128579.0,78250.0,40.185
2019-04-01,207.513,2019,4,62331.0,206172550.777842,5.8,255.211,3.6,237.2,2.42,128579.0,78250.0,40.185
2019-05-01,208.136,2019,5,62535.666666666664,206450917.997713,6.7,255.29,3.7,237.3,2.39,128579.0,78250.0,40.185
